               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.044796,            0.053784,            0.019013,             0.96057,             0.90748,             0.94618,             0.59736,            0.036791,            0.033446,            0.012365,           0.0084404,           0.0084404,           0.0084404
                  84,            0.046329,            0.057656,            0.018406,             0.97627,             0.91318,              0.9551,             0.65926,            0.033892,            0.033193,             0.01256,           0.0084046,           0.0084046,           0.0084046
                  85,            0.045342,            0.055368,            0.019866,             0.94947,              0.9083,             0.93222,               0.507,            0.044308,            0.034996,            0.012508,           0.0083684,           0.0083684,           0.0083684
                  86,             0.05115,            0.057234,            0.019845,             0.95758,             0.90781,              0.9306,             0.53011,            0.043384,            0.035186,            0.012354,           0.0083319,           0.0083319,           0.0083319
                  87,            0.045935,            0.052386,            0.018507,             0.94512,             0.89317,             0.91297,             0.52623,            0.046215,            0.035224,            0.013023,           0.0082952,           0.0082952,           0.0082952
                  88,            0.044484,            0.053405,            0.017827,             0.94764,              0.9072,             0.93475,              0.6317,            0.039911,             0.03467,            0.013111,           0.0082581,           0.0082581,           0.0082581
                  89,            0.043783,            0.056743,            0.018075,             0.97968,             0.91415,              0.9572,             0.71476,            0.035149,            0.032809,            0.012155,           0.0082207,           0.0082207,           0.0082207
                  90,            0.045412,            0.055428,            0.019009,             0.98829,             0.89612,             0.94675,             0.71046,            0.032845,            0.032341,            0.012365,            0.008183,            0.008183,            0.008183
                  91,            0.043512,            0.051673,            0.017522,             0.98588,             0.92917,             0.96154,             0.66256,            0.033051,            0.032675,            0.012243,            0.008145,            0.008145,            0.008145
                  92,            0.046097,            0.058098,            0.019299,             0.98376,              0.8816,             0.94908,              0.6845,             0.03217,             0.03329,            0.012535,           0.0081068,           0.0081068,           0.0081068
                  93,            0.042628,            0.050155,            0.017553,             0.94753,             0.90972,             0.95257,             0.62615,            0.038453,            0.034443,            0.012492,           0.0080682,           0.0080682,           0.0080682
                  94,            0.046418,            0.059632,            0.019291,             0.89816,             0.88261,             0.91665,             0.58517,            0.040407,            0.036346,            0.013416,           0.0080294,           0.0080294,           0.0080294
                  95,            0.042376,            0.050639,            0.017081,             0.96345,             0.89668,             0.94699,             0.54357,            0.042227,            0.035724,            0.012789,           0.0079903,           0.0079903,           0.0079903
                  96,            0.042978,            0.054375,            0.018173,             0.90439,             0.84307,             0.90894,             0.64573,            0.035188,            0.034676,            0.014796,           0.0079509,           0.0079509,           0.0079509
                  97,            0.041947,            0.052468,            0.017462,             0.92402,             0.82709,             0.90881,              0.6485,            0.033312,            0.032605,            0.014916,           0.0079112,           0.0079112,           0.0079112
                  98,            0.044916,            0.055724,             0.01925,             0.88824,             0.91495,             0.94003,             0.66463,             0.03598,             0.03323,            0.013205,           0.0078713,           0.0078713,           0.0078713
                  99,            0.042227,            0.049221,            0.018448,             0.91058,             0.89225,             0.92933,             0.63275,            0.038296,            0.034203,            0.013583,           0.0078311,           0.0078311,           0.0078311
                 100,            0.041349,            0.054626,            0.018258,             0.98445,             0.93697,             0.96016,              0.6926,            0.032445,            0.033188,            0.011608,           0.0077907,           0.0077907,           0.0077907
                 101,            0.040416,             0.05554,            0.017279,             0.97057,             0.95168,             0.96246,             0.68896,            0.034735,            0.032518,            0.011304,             0.00775,             0.00775,             0.00775
                 102,             0.04533,            0.057097,            0.018923,              0.9803,             0.94543,             0.96354,             0.68309,            0.036507,            0.032509,            0.011454,           0.0077091,           0.0077091,           0.0077091
                 103,              0.0405,            0.052141,            0.017258,             0.98821,              0.9541,             0.96313,             0.67854,            0.034708,            0.033003,            0.011129,           0.0076679,           0.0076679,           0.0076679
                 104,            0.040366,            0.055223,             0.01766,              0.9481,             0.86359,             0.92233,             0.66257,            0.034448,            0.033271,            0.014328,           0.0076265,           0.0076265,           0.0076265
                 105,            0.040609,            0.056769,            0.017951,             0.88945,             0.86627,             0.89625,             0.61629,            0.034801,            0.033934,            0.015609,           0.0075848,           0.0075848,           0.0075848
                 106,            0.045136,            0.059082,            0.018577,             0.97755,             0.95496,             0.96411,             0.68534,            0.033787,            0.032589,            0.010585,            0.007543,            0.007543,            0.007543
                 107,            0.042537,            0.053543,            0.018437,             0.97917,               0.961,             0.96954,             0.69959,            0.033602,              0.0327,            0.010251,           0.0075009,           0.0075009,           0.0075009
                 108,             0.03991,            0.053648,            0.017482,             0.98655,             0.95755,             0.97023,             0.70383,            0.032678,            0.032542,            0.010251,           0.0074585,           0.0074585,           0.0074585
                 109,            0.040189,            0.055345,            0.017299,             0.98626,             0.95842,              0.9701,              0.7026,            0.033121,            0.032785,           0.0099953,            0.007416,            0.007416,            0.007416
                 110,            0.041794,            0.051074,            0.016984,             0.98964,             0.94815,             0.97067,             0.68909,            0.035406,            0.033333,           0.0099924,           0.0073733,           0.0073733,           0.0073733
                 111,            0.042654,            0.056066,            0.017628,             0.97693,             0.95788,             0.96989,             0.70779,             0.03433,            0.033619,           0.0098681,           0.0073303,           0.0073303,           0.0073303
                 112,            0.043222,            0.054681,            0.018539,             0.96738,             0.95128,             0.97137,             0.73244,            0.031117,            0.032194,            0.010155,           0.0072872,           0.0072872,           0.0072872
                 113,             0.04179,            0.053574,            0.016742,             0.96556,             0.96073,             0.97315,             0.70645,             0.03581,             0.03241,           0.0099356,           0.0072438,           0.0072438,           0.0072438
                 114,            0.044609,            0.056338,            0.017638,             0.95021,             0.95941,             0.96973,             0.68956,            0.034644,            0.032367,            0.010034,           0.0072003,           0.0072003,           0.0072003
                 115,            0.041386,             0.05299,            0.014791,             0.95741,             0.95106,             0.96434,             0.61929,            0.040546,            0.033693,           0.0097799,           0.0071566,           0.0071566,           0.0071566
                 116,            0.041865,            0.053512,            0.016436,             0.96253,             0.94435,             0.96968,             0.69614,            0.033097,            0.032555,            0.010089,           0.0071127,           0.0071127,           0.0071127
                 117,            0.040438,            0.051979,            0.017144,             0.96119,             0.96571,             0.97095,             0.71513,            0.033424,            0.033393,           0.0098944,           0.0070686,           0.0070686,           0.0070686
                 118,            0.045005,            0.057659,            0.016176,             0.95412,             0.95576,             0.96893,             0.68767,            0.032178,            0.033716,            0.010483,           0.0070243,           0.0070243,           0.0070243
                 119,            0.044181,            0.053148,            0.016521,              0.9535,             0.94159,             0.96556,             0.71299,            0.032327,            0.033891,            0.010973,           0.0069799,           0.0069799,           0.0069799
                 120,            0.041859,            0.052866,            0.016776,             0.94758,             0.88982,             0.95087,             0.69666,            0.032578,            0.034687,            0.012172,           0.0069353,           0.0069353,           0.0069353
                 121,            0.040469,            0.054199,            0.016232,             0.91696,             0.86622,             0.91743,             0.64448,            0.035464,            0.034465,            0.013352,           0.0068906,           0.0068906,           0.0068906
                 122,            0.043505,            0.054148,            0.017269,             0.92063,             0.90952,             0.93441,             0.54426,            0.041457,            0.035354,            0.012274,           0.0068457,           0.0068457,           0.0068457
                 123,            0.042637,            0.053477,            0.016538,             0.92283,             0.91802,               0.935,             0.63036,            0.037166,            0.034959,             0.01208,           0.0068006,           0.0068006,           0.0068006
                 124,            0.041635,            0.056606,            0.017227,             0.91845,             0.91735,             0.93272,             0.62776,            0.036167,            0.034234,            0.012209,           0.0067555,           0.0067555,           0.0067555
                 125,            0.040372,            0.050706,            0.016407,             0.92378,             0.91314,             0.93575,             0.67285,            0.032125,            0.034409,            0.012371,           0.0067101,           0.0067101,           0.0067101
                 126,             0.04347,            0.051583,            0.015873,             0.91988,             0.91673,              0.9373,             0.66153,            0.034427,            0.032981,             0.01204,           0.0066647,           0.0066647,           0.0066647
                 127,            0.041508,            0.052168,            0.017268,             0.90769,             0.91087,             0.93381,             0.68779,             0.03109,             0.03264,            0.012869,           0.0066191,           0.0066191,           0.0066191
